Date,Time,Room,Title,Speaker,Abstract
2019-08-21 - Wednesday,8:00 AM - 9:15 AM,Concourse,Registration at CGIS South,NA,NA
2019-08-21 - Wednesday,8:00 AM - 10:00 AM,S050,Shiny Reproducibility,Joe Cheng,NA
2019-08-21 - Wednesday,8:00 AM - 10:00 AM,S250,"R Validation Hub (past, current and future state)",Andy Nicholls,NA
2019-08-21 - Wednesday,8:00 AM - 10:00 AM,S030,Artificial neural networks in R with Keras and TensorFlow,Leon Eyrich Jessen,NA
2019-08-21 - Wednesday,10:00 AM - 10:20 AM,Concourse,Break,NA,NA
2019-08-21 - Wednesday,10:20 AM - 12:00 PM,S050,Shiny Reproducibility,Joe Cheng,NA
2019-08-21 - Wednesday,10:20 AM - 12:00 PM,S250,"R Validation Hub (past, current and future state)",Andy Nicholls,NA
2019-08-21 - Wednesday,10:20 AM - 12:00 PM,S030,Artificial neural networks in R with Keras and TensorFlow,Leon Eyrich Jessen,NA
2019-08-21 - Wednesday,12:00 PM - 1:00 PM,Concourse,Lunch,NA,NA
2019-08-21 - Wednesday,1:00 PM - 3:00 PM,S050,Machine learning,Max Kuhn,NA
2019-08-21 - Wednesday,1:00 PM - 3:00 PM,S250,plottly,Carson Sievert,NA
2019-08-21 - Wednesday,1:00 PM - 3:00 PM,S030,Pipeline toolkit for reproducibility and high-performance computing,Will Landau,NA
2019-08-21 - Wednesday,3:00 PM - 3:20 PM,Concourse,Break,NA,NA
2019-08-21 - Wednesday,3:20 PM - 5:00 PM,S050,Machine learning,Max Kuhn,NA
2019-08-21 - Wednesday,3:20 PM - 5:00 PM,S250,plottly,Carson Sievert,NA
2019-08-21 - Wednesday,3:20 PM - 5:00 PM,S030,Pipeline toolkit for reproducibility and high-performance computing,Will Landau,NA
2019-08-21 - Wednesday,6:00 PM - 9:30 PM,By invitation,Pre-Conference Dinner for Speakers,NA,NA
2019-08-22 - Thursday,8:00 AM - 9:15 AM,Concourse,Registration at CGIS South,NA,NA
2019-08-22 - Thursday,8:00 AM - 8:45 AM,TBC,Breakout / Focused Discussion TBD,TBD,NA
2019-08-22 - Thursday,8:00 AM - 8:45 AM,TBC,Breakout / Focused Discussion TBD,TBD,NA
2019-08-22 - Thursday,8:00 AM - 8:45 AM,TBC,Breakout / Focused Discussion TBD,TBD,NA
2019-08-22 - Thursday,9:00 AM - 9:15 AM,Auditorium,Opening Remarks,NA,NA
2019-08-22 - Thursday,9:15 AM - 10:00 AM,Auditorium,Reproducibility and the role of code in reproducible data science,Garrett Grolemund,NA
2019-08-22 - Thursday,10:00 AM - 10:20 AM,Auditorium,Using R for Generic Drug Evaluation and SABE R-package for Assessing Bioequivalence of Topical Dermatological Products,Elena Rantou,"Determination of bioequivalence (BE), a crucial part of the evaluation of generic drugs, may depend on clinical endpoint studies, pharmacokinetic (PK) studies of bioavailability, and In-Vitro tests, among others. Additionally, in reviewing Abbreviated New Drug Applications (ANDA), FDA reviewers often analyze safety studies and perform various kinds of simulations. A growing, vibrant group of statisticians in the Office of Biostatistics, CDER/FDA has adopted R for both their routine tasks and to address numerous scientific questions that are received in the form of internal consults. During the past 5 years, we have used R to run power simulations; generate the distribution of certain statistics of interest; assess the similarity of and cluster amino-acid sequences as well as, derive the distribution of the molecular weight of such sequences of a certain length; and determine the validity of data sets categorized for genotoxicity. R-package SABE was developed to accompany a new statistical test, used to assess BE of topical dermatological products when data for evaluation come from the In-Vitro Permeation Test (IVPT) [1]. BE tests consider comparisons between a Test (usually generic) and a Reference (RLD) product under a replicate study design. A function that assesses BE of a Test and a Reference formulation uses a mixed scaled criterion for the PK metrics AUC (Area Under the Curve) and Cmax (maximum concentration)."
2019-08-22 - Thursday,10:20 AM - 10:30 AM,Auditorium,Tables: SAS (proc report) -vs- R (GT),Bella Feng,NA
2019-08-22 - Thursday,10:30 AM - 10:50 AM,Auditorium,Teaching an old dog new tricks: modernizing gsDesign,Keaven Anderson,"The gsDesign package for group sequential design is widely used with >30k downloads. The package was originally written in 2007 with substantial documentation and Runit testing created before 2010. A Shiny interface was created to make the package more approachable in about 2015. Recent efforts have focused on updating package to use Roxygen2, pkgdown, covr/covrpage and testthat as well as changing vignettes from Sweave to R Markdown. The learning curve for this modernization will be discussed as well as usage in a regulated environment."
2019-08-22 - Thursday,10:50 AM - 11:10 AM,Concourse,Break,NA,NA
